,timestamps,original,checked
20,0:27,"['흥달썹과함께하는', '정보처리기사 필기 서브넷 특강', '03 전송속도']",흥달썹과함께하는정보처리기사 필기 서브넷 특강 03 전송속도
19,1:20,"['03 서브넷 전송속도', '01. 데이터 변조속도가3600 baud미고 취드비틱Quadbit틀 사용하는경우전승속되티P외는3 14400 10800 9600 7200']",03 서브넷 전송속도 01 데이터 변조속도가 3600 baud 미고 취드비틱Quadbit틀 사용하는 경우 전승 속되디 P 외는 3 14400 10800 9600 7200
18,2:17,"['03 서브넷 전송속도', 'O2. 4-PSK 변조방식에서 변조속도가 1200Inaud1일때 데이터젠숨숙도는몇InP티인가2 120이Ipp끄 240이I미ps] 360이I미ps] 480이Ipps]']",03 서브넷 전송속도 O2 4PSK 변조 방식에서 변조속도가 1200Inaud1일 때 데이터젠숨숙도는몇InP티인가2 120이 Ipp 끄 240이 I 미 ps 360이 I 미 ps 480이 Ipps
17,2:28,"['03 서브넷 전송속도', 'O2(,PSK 변조방식에서 변조속도가 120이TnaugT일 때 데이터전송속도는명 [nn침]인가2 1200mpps] 240이I미ps] 360이I미ps] 480이[Dps]']",03 서브넷 전송속도 O2PSK 변조 방식에서 변조속도가 120이 TnaugT 일 때 데이터전송속도는 명 nn 침인가 2 1200mpps 240이 I 미 ps 360이 I 미 ps 480이 Dps
16,2:46,"['03 서브넷 전송속도', 'O3. 8친 PSK 변조방식에서변조속도가240이TBauVT일때 정토 향의전송속도 2400 4800 왜0- 7200 9600']",03 서브넷 전송속도 O3 8친 PSK 변조 방식에서 변조속도가 240이 TBauVT 일 때 정토 향의 전송속도 2400 4800 왜 0 7200 9600
15,3:30,"['03 서브넷 전송속도', 'O3. 8친 PSK 변조방식메서변조속도가240이TBauVT일때 정보신호의전송속도년I티P티는3 2400 4800 7200 9600 (']",03 서브넷 전송속도 O3 8친 PSK 변조 방식 메서 변조속도가 240이 TBauVT 일 때 정보신호의 전송속도 년 I 티 P 티는 3 2400 4800 7200 9600 
14,3:32,"['03 서브넷 전송속도', 'O4. 9600lbP티]의 비트얼을 18친PSK로 변조하여 전송하면변조속도는2 120이IBaug] 240이IBaug] 3,20이IBaugT 460이IRaudg']",03 서브넷 전송속도 O4 9600lbP 티의 비트 얼을 18친 PSK로 변조하여 전송하면 변조속도는 2 120이 IBaug 240이 IBaug 320이 IBaugT 460이 IRaudg
13,4:23,"['03 서브넷 전송속도', 'O4. 960이Ipp죄]의비트일16체PSK로변조하여 전송하면변조속도는2 짜양0 120이IBaud] 2400[Baudg 9000 3,20이IBaugT 460이IRaudg 4 0 A I4"" (8']",03 서브넷 전송속도 O4 960이 Ipp 죄의 비트 일16체 PSK로 변조하여 전송하면 변조속도는 2 짜야 0 120이 IBaud 2400Baudg 9000 320이 IBaugT 460이 IRaudg 4 0 A I4 8
12,4:27,"['03 서브넷 전송속도', 'O4. 9600lbP티l의 비트을 18친PSK로 변조하여 전송하면변조속도는2 120이IBau침] 240이IBaugT 3,20이IBaugT 460이IRaudg']",03 서브넷 전송속도 O4 9600lbP 티 l의 비트를 18친 PSK로 변조하여 전송하면 변조속도는 2 120이 IBau 침 240이 IBaugT 320이 IBaugT 460이 IRaudg
11,4:28,"['흥달썹과함께하는', '정보처리기사 필기 서브넷 특강', '감사합니다.']",흥달썹과함께하는정보처리기사 필기 서브넷 특강 감사합니다
10,4:29,"['03 서브넷 전송속도', 'O4. 9600lbP티l의 비트업을 18친PSK로 변조히여 전송하면변조속도는2 120이IBaug] 240이IBaugT 3,20이IBaugT 460이IBaudT']",03 서브넷 전송속도 O4 9600lbP 티 l의 비트 업을 18친 PSK로 변조의 여 전송하면 변조속도는 2 120이 IBaug 240이 IBaugT 320이 IBaugT 460이 IBaudT
9,4:30,"['03 서브넷 전송속도', 'O3,8젠PSK 변조방식에서변조속도가240이TBauVT일때 징보신호의전송속도년I티P티는3 2400 4800 S08 첫- 7200 9600 4.', '0A']",03 서브넷 전송속도 O38 젠 PSK 변조 방식에서 변조속도가 240이 TBauVT 일 때 장 보신 호의 전송속도 년 I 티 P 티는 3 2400 4800 S08 첫 7200 9600 40A
