,timestamps,original,checked
15,0:01,"['V다', '가 eNL', 'MAL', 'aMllil {', 'om mlimiu', ""'"", 'Impes Illimirl TT  Isil \'  다다 {@ , "" , am', ' ', 'I 무다; lnn ""다 \'', ""Ii huur  Tl ' Ia umlinn '새 "", '', ""''"", '{다다', 'i Mlilin', 'Wilion', '', 'ina', '{', ""어'"", 'w 다 GdII', ""' II 다"", '(n 어 대', '어;  lliiwn AY', 'I II Voihli', 'imoor', 'Diiilllululliuun', ""l '"", ""2 나 |어하다 '"", 'Mlytutully Mimonilitr', ""Mrt Immotule 가퍼 다  - Tln 수대다그보  l '@기 자"", 'TI', ' _N', 'w', ""꼬'"", 'y', 'Iil Msll', 'I', '""', '{ .', '', ""'다"", '""']",V다 가 eNL MAL aMllil { om mlimiu  Impes Illimirl TT  Isil \  다다 {    am   I 무다; lnn 다 \ Ii huur  Tl  Ia umlinn 새    {다다 i Mlilin Wilion  ina { 어 w 다 GdII  II 다 n 어 대 어;  lliiwn AY I II Voihli imoor Diiilllululliuun l  2 나 어하다  Mlytutully Mimonilitr Mrt Immotule 가프 다   Tln 수대다 그보  l 기 자 TI  _N w 꼬 y Iil Msll I  {   다 
14,0:02,"['(lieni', 'Hlnslmm Sule Ihsn', 'BouzsuLutarw e s 대LJ; "" sluileyery']",lieni Hlnslmm Sule Ihsn BouzsuLutarw e s 대 LJ;  sluileyery
13,0:17,"['1절_[데이터와 정보] 학습방향 및 시험전락', '1장', '2절_[데이터베이스 정의와 특징]', '3절_[데이터베이스 활용] 예상문제 핵심요약', '데이터의 이해', '7과목 데이터의 이해']",1절_데이터와 정보 학습방향 및 시험 전락 1장 2절_데이터베이스 정의와 특징 3절_데이터베이스 활용 예상문제 핵심요약 데이터의 이해 7과목 데이터의 이해
12,0:32,"['데이터 정의에 대해 이해한다.', '학습목표 J', '데이터베이스 정의와 특징울 이해한다:', '데이터베이스 활용에 대해 이해한다.']",데이터 정의에 대해 이해한다 학습목표 J 데이터베이스 정의와 특징을 이해한다 데이터베이스 활용에 대해 이해한다
11,1:09,"['눈높이 체크', '데이터의 정의름 알고 계신가요?', '데이터라는 단어름 한번도 들어본 적 없으신 분은 없올 것입니다. 옥스포드 대사전에서 데이터논""추론과 추정의 근거지 아루는 사실"" 이라고 정의하고 있습니다. 1940년대 이후 컴퓨터시대가 시작되면서 자연과학 뿐만 아니라 경영학 , 통계학 등 다양한 사회과학이 진일보하면서 데이터의 의미논 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화되고 있습니다.']",눈높이 체크 데이터의 정아름 알고 계시나요 데이터라는 단 어름 한 번도 들어본 적 없으신 분은 없오 것입니다 옥스퍼드 대사전에서 데이어논 추론과 추정의 근거지 아루는 사실이라고 정의하고 있습니다 1940년대 이후 컴퓨터 시대가 시작되면서 자연과학뿐만 아니라 경영학  통계학 등 다양한 사회과학이 진일보하면서 데이터의 의미 논 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화되고 있습니다
10,2:00,"['데이터 분석 준전문가 | 과목-데이터 이해', '1장 데이터의 이해', 'DATA DU', '1절 데이터와 정보 2절 데이터베이스정의와 특징 3절 데이터베이스활용', '강사:운종식박사', '지식경영의 핵심 이슷', '1과목 1장 1절', '데이터의 정의와 특성', '데이터의 유형', '데이터와 정보의 관계', '2절.용어의 연력']",데이터 분석 준전문가  과목 데이터 이해 1장 데이터의 이해 DATA DU 1절 데이터와 정보 2절 데이터베이스 정의와 특징 3절 데이터베이스 활용 강사 윤종식 박사 지식경영의 핵심 비슷 1과목 1장 1절 데이터의 정의와 특성 데이터의 유형 데이터와 정보의 관계 2절 용어의 연력
9,2:01,"['DATA DU', '2절.용어의 연력', '1과목 1장 1질']",DATA DU 2절 용어의 연력 1과목 1장 1질
8,4:13,"['1장 데이터의 이러 데이터와 정보', 'I 과목', '데이터의 정의', '데이터(data)라는 용어는 1646년 영국 문현에 처음 등장 ~라련어인 dare(주다)의 과거분사형으로 주어진 것이관 의미 1940년대 이후 컴퓨터 시대가 시작되고 자연과학분만 아니라 경영학 통계학 등 다양한 사회과학이 진일보하다 , 데이터의 의미논 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화 데이터는 추론과 추정의 근거들 이루는 사실(옥스퍼드 대사전) 단순한 객체로서의 가치분만 아니라 다른 객체와의 상호관계 속에서 가치름 갖는 것으로 설명 팀.', 'DATA 그DU 1과목 1장 1절 데이터의 정의와 특성', '지식경영의 핵심 이슷', '데이터의 유형', '데이터와 정보의 관계', '2절.용어의 연학']",1장 데이터의 이러 데이터와 정보 I 과목 데이터의 정의 데이터 data라는 용어는 1646년 영국 문현에 처음 등장 라련어인 dare 주다의 과거분사형으로 주어진 것이 관 의미 1940년대 이후 컴퓨터 시대가 시작되고 자연과학 분만 아니라 경영학 통계학 등 다양한 사회과학이 진일보하다  데이터의 의미 논 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화 데이터는 추론과 추정의 근거들 이루는 사실 옥스퍼드 대사전 단순한 객체로서의 가치 분만 아니라 다른 객체와의 상호 관계 속에서 개비름 갖는 것으로 설명 팀 DATA 그 DU 1과목 1장 1절 데이터의 정의와 특성 지식경영의 핵심 비슷 데이터의 유형 데이터와 정보의 관계 2절 용어의 연학
7,5:53,"['1장 데이터의 이러 데이터와 정보', 'I 가목', '데이터의 유형', '구분', '형태', '정성적 데이터(qualitative)', '회사 매출이 증가함 등', '언어; 문자 등', '정량적 데이터(quantitative)', '수치 도형; 기호 등', '나이, 몸무게, 주가 등', '정성 데이터는 그 형태와 형식이 정해저 있지 않아서 저장 검색 분석하는데 많은 비용과 기술적 투자가 수반 팀 예) 주관식 응답, SNS에I 올린 글 등 형태와 형식이 정해저 있지 않은 데이터 정량 데이터는 데이터의 양이 크게 증가 하더라도 이틀 관리하는 시스템에(DBMS) 저장 . 검색 분석하여 활용하기 용이함 예) 지역별 온도 풍속, 강우량과 같이 수치로 표현되논 데이터', '3DU', '1과목 1장 1절', '지식경영의 핵심 이슷', '데이터의 정의와 특성', '데이터의 유형', '데이터와 정보의 관계', '2절.용어의 연력']",1장 데이터의 이러 데이터와 정보 I 가목 데이터의 유형 구분 형태 정성적 데이터 qualitative 회사 매출이 증가함 등 언어; 문자 등 정량적 데이터 quantitative 수치 도형; 기호 등 나이 몸무게 주가 등 정성 데이터는 그 형태와 형식이 정해 저 있지 않아서 저장 검색 분석하는데 많은 비용과 기술적 투자가 수반 팀 예 주관식 응답 SNS에 I 올린 글 등 형태와 형식이 정해 저 있지 않은 데이터 정량 데이터는 데이터의 양이 많게 증가하더라도 이틀 관리하는 시스템에 DBMS 저장  검색 분석하여 활용하기 용이함 예 지역별 온도 풍속 강우량과 같이 수치로 표현되온 데이터 3DU 1과목 1장 1절 지식경영의 핵심 비슷 데이터의 정의와 특성 데이터의 유형 데이터와 정보의 관계 2절 용어의 연력
6,5:54,"['1장 데이터의 이러 데이터와 정보', '1 과목', '3DU', '2절.용어의 연력', '1과목 1장 1절']",1장 데이터의 이러 데이터와 정보 1 과목 3DU 2절 용어의 연력 1과목 1장 1절
