,timestamps,original,checked
42,0:00,"['[e Inyy-', '<-난A- 녕----6--1 Imssn-Iiic --짜 --- 내-rs 녀-티 u', 'W00D이sm8smd 뇨S--0tssmtmt', '펼끄']",e Inyy 난 A 녕 61 ImssnIiic 짜  내 rs 녀티 uW00D이 sm8smD 뇨S0tssmtmt펼끄
41,0:01,"['""', '"" U잎yIS', '-R넷I표', 'iiin """"', '선 oiaia-', '""', '1 mttc I-II교 "" "" "" ("" "","" .I훈 #', '""', '"" ""큼 ""a "" ""', 't"" ""ri- K- """" - 교박듯.번 """" 1a"" ', '"" ', '""', '""', '"""" W난', '<cn', '""', '쁘님', 'a""', '""', '"" "" 포', '"" "" 성""', 'VG q 핑', '  Ilii 돼inci', 'a 0 I .', '단퍼', 'I저L I.되', '"" ""', '"" 난 "" ""', '냉 oarn It""-', '  내Lo "" ir법 I-n I L래피L이나  ""  """" WH단', '""""', '""념1', '""성', '""', '님', '난', '"",""', '""', '""', '""', '', '(']", U 잎 yISR 넷 I 표 iiin선 oiaia1 mttc III 교      I 훈  큼 a  t ri K   고 박듯번  1a   W난cn쁘님a  포  성 VG q 핑  Ilii 돼 incia 0 I 단어 I 저 L I되  난  냉 oarn It  내 Lo  ir 법 In I L 래피 L이나     WH 단념 1형님 난
40,0:02,"['높-.', 'FIi ImStir tio', '작LIIVL 4탤. u빠 L쪽 배I-처 녀I디-G 새세.-1']",높 FIi ImStir tio 작 LIIVL 4텔 u 빠 L 쪽 배 I 처 녀 I 디 G 새세 1
39,0:04,['DATA DU'],DATA DU
38,0:17,"['1절 [데이터와 정보] 학습방향 밌 시험전략', '1장', '2절 I데이터베이스 정의와 특징]', '3절 I데이터베이스 활용] 예상문제 핵심요약', '데이터의 이해', '1과목 데이터의 이해']",1절 데이터와 정보 학습방향 미 시험전략 1장 2절 I 데이터베이스 정의와 특징 3절 I 데이터베이스 활용 예상문제 핵심요약 데이터의 이해 1과목 데이터의 이해
37,0:19,"['학습묵', '1장', '데이터의 이해']",학습무 1장 데이터의 이해
36,0:32,"['데이터 정의에 대해 이해한다.', '학습목표 ]', '데이터베이스 정의와 특징을 이해한다.', '데이터베이스 활용에 대해 이해한다.']",데이터 정의에 대해 이해한다 학습목표 데이터베이스 정의와 특징을 이해한다 데이터베이스 활용에 대해 이해한다
33,0:35,['틀늘이'],틀 늘여
32,1:09,"['눈놓이 체크', '데이터의 정의클 알고 계신가요2', ""데이터라는 단어률 한번도 들어본 적 없으신 분은 없을 것입니다. 옥스포드 대사전에서 데이터는'추론과 추정의근거률 아루는 사실' 이라고 정의하고 있습니다 1940년대 이후 컴퓨터시대가 시작되면서 자연과학 뿐만 아니라 경영학, 통계학 둥 다양한 사회과학이 진일보하면서 데이터의 의미는 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화되고 있습니다.""]",눈높이 체크 데이터의 정의 클 알고 계시나요 2데이터라는 단어율 한 번도 들어본 적 없으신 분은 없을 것입니다 옥스퍼드 대사전에서 데이터는 추론과 추정의 근거율 아루는 사실이라고 정의하고 있습니다 1940년대 이후 컴퓨터 시대가 시작되면서 자연과학뿐만 아니라 경영학 통계학 둥 다양한 사회과학이 진일보하면서 데이터의 의미는 과거의 관념적이고 추상적인 개념에서 기술적이고 사실적인 의미로 변화되고 있습니다
29,2:00,"['데이터분석준전문가I과목-데이터이해', '1장. 데이터의이해""', 'DAIA DU', '1절데이터와 정보 2절 데이터베이스정의와특징"" 3절 데이터베이스활용', '강사.운종식박사', '지식경영의 핵십이슈', '1과목 1장 1절', '데이터의정의와 특성', '데이터의유형', '데이터와 정보의관계', '2절.용어의연력']",데이터 분석 준 전문가 I 과목 데이터 이해 1장 데이터의 이해 DAIA DU1절 데이터와 정보 2절 데이터베이스 정의와 특징 3절 데이터베이스 활용 강사 윤종식 박사 지식경영의 핵심 이슈 1과목 1장 1절 데이터의 정의와 특성 데이터의 유형 데이터와 정보의 관계 2절 용어의 연력
28,2:01,"['DAIA DU', '2절.용어의연력', '1과목 1장 1절']",DAIA DU2절 용어의 연력 1과목 1장 1절
26,2:03,['년혀'],년 혀
25,2:04,"['I힘. 데이터미 이혀 데이터와 정보', 'I', '데이터미 점익', '데이테daiae라는 용어는 1646년 영국 문헌에 치음 등징 -리린어인 dVr테주디)의 괴거분시형으로 주어진 것이란 익미 1940년대 이후 컵퓨터 시대가 시직되고 자연과희분만 아니라 검염학 통게획 등"" 다앙흰 사회과릭이 진밀보히머 데이터미 미미는 괴거의 괜넘칙이고 추심적인 개념에시 기술적이고 사실적인 익미로 번회 데이터는 추론과 추정의 근거름 이루는 사셈옥스피드 떼시젠 난순흰 객체로서의 가치분민 아니라 다른 객체와의싱호권계 속에4 ""치틀 것는 것으로 설명 팀 ', '마N', '트DU', '2과복 1꿈 l컬 ', '더이터와 정보의 관켜', '테이터의 청의와 특성', '데이터의 묶험', '찌식겹령의 혀십 이슈', '2현.통어의 연획']",I 힘 데이터미 익혀 데이터와 정보 I 데이터 미 점이고 데이터 daiae라는 용어는 1646년 영국 문헌에 치음 등장 리린어인 dVr 테 주디의 과거분 시형으로 주어진 것이란 이미 1940년대 이후 컴퓨터 시대가 시직 되고 자연과의 분만 아니라 검염학 통에 획 등 다앙흰 사회 과락이 진밀보히머 데이터미 미미는 과거의 괜넘칙이고 추심적인 개념에 시 기술적이고 사실적인 일미로 번호 데이터는 추론과 추정의 근 거름 이루는 사셈옥스피드 떼시겐 난 선 흰 객체로서의 가치분민 아니라 다른 객체와의 상호 권계 속에 4 치 틀 것는 것으로 설명 팀 마 N 트 DU2과 복 1꿈 l 컬 더 이터와 정보의 관 켜 테이터의 청의와 특성 데이터의 묶험찌식겹령의 허십 이슈 2 현 통일의 연회
